id,vendor_id,pickup_datetime,dropoff_datetime,passenger_count,pickup_longitude,pickup_latitude,dropoff_longitude,dropoff_latitude,store_and_fwd_flag,trip_duration
id2760814,2,6/15/2016 19:50,6/15/2016 19:55,1,-73.95785522,0,-73.94739532,40.77968597,N,316
id3721669,2,2/6/2016 19:23,2/6/2016 19:29,4,-73.97467041,40.75343704,0,40.76070023,N,362
id2157744,1,3/26/2016 3:07,3/26/2016 3:13,1,-73.9948349,40.74781418,-73.99864197,0,N,371
id3942232,2,3/12/2016 22:39,3/12/2016 22:47,1,-73.97754669,40.75838852,-73.99108124,40.75036621,N,482
id0761605,2,6/4/2016 16:45,6/4/2016 16:58,2,0,40.75069046,-73.97866058,40.76684189,N,771
id0307647,1,5/20/2016 14:41,5/20/2016 14:51,1,-73.9787674,40.75234985,-73.96956635,40.7571106,N,605
id0949162,2,6/29/2016 9:39,6/29/2016 9:59,2,-73.99153137,40.74467087,-73.98184967,40.76123047,N,1233
id2047147,1,1/30/2016 9:57,1/30/2016 10:11,1,-73.94982147,40.78463364,-73.98283386,40.7665596,N,868
id0798967,2,6/13/2016 21:02,6/13/2016 21:03,1,-74.0136795,40.70454025,-74.01296997,40.70401001,N,0
id2190306,1,6/16/2016 6:05,6/16/2016 6:11,1,-73.98574829,0,0,40.78819275,N,332
id1583502,1,4/16/2016 23:13,4/16/2016 23:40,2,-73.95462799,40.73015594,-73.94458771,40.6712532,N,1628
id2133750,2,1/7/2016 10:25,1/7/2016 10:34,1,-73.99034882,40.77127838,-73.99160767,40.74517059,N,539
id3540319,2,5/10/2016 10:46,5/10/2016 10:56,1,0,40.73252106,-73.99176788,40.73688889,N,619
id0589427,1,5/1/2016 19:14,5/1/2016 19:35,2,-73.97865295,40.73675919,-73.98149872,40.77977753,N,1292
id0144903,1,2/12/2016 19:25,2/12/2016 19:33,1,-73.99021149,40.73297119,-73.98358154,40.72610474,N,480
id3604332,2,3/21/2016 11:34,3/21/2016 11:39,3,-73.97795105,40.75384903,-73.98020935,40.76066971,N,306
id0065502,1,6/26/2016 3:22,6/26/2016 3:28,1,0,0,-73.97175598,0,N,346
id0208425,2,3/12/2016 10:42,3/12/2016 10:46,2,-74.00273132,40.7285881,0,40.73241425,N,213
id1719536,2,3/23/2016 15:36,3/23/2016 15:51,1,-73.9905777,40.74555588,-73.97289276,40.76433563,N,948
id0396613,2,2/8/2016 19:41,2/8/2016 19:48,1,-73.95826721,40.77570343,-73.94785309,40.77475739,N,444
id2533967,1,5/17/2016 19:06,5/17/2016 19:18,1,-73.99533844,40.7596817,-73.97499084,40.78778839,N,721
id0570385,2,4/21/2016 15:00,4/21/2016 15:41,1,-74.01439667,40.70478821,-73.98600769,40.75892258,N,2445
id0991225,2,3/3/2016 12:19,3/3/2016 12:33,1,-74.00049591,40.72072601,-73.98371887,40.7436409,N,819
id2889968,1,3/17/2016 13:28,3/17/2016 13:37,1,-73.96218109,40.77367783,-73.9706192,40.7593689,N,545
id2301010,2,2/19/2016 0:39,2/19/2016 0:53,2,0,0,-74.01174927,40.70293045,N,811
id0993475,1,2/17/2016 21:12,2/17/2016 21:34,4,0,40.77403641,-74.00418854,40.68165588,N,1292
id1028930,1,5/10/2016 21:52,5/10/2016 21:59,1,0,40.7230835,0,40.73407745,N,428
id0128990,1,4/1/2016 18:04,4/1/2016 18:13,1,0,40.75208664,-73.95876312,40.77217102,N,504
id2265690,2,6/15/2016 11:18,6/15/2016 11:31,1,0,40.75767136,-73.96044159,40.76142883,N,776
id1046820,1,3/23/2016 12:51,3/23/2016 13:10,1,-73.98725891,40.73888779,-73.97489166,40.75896835,N,1167
id3020519,1,5/18/2016 16:46,5/18/2016 17:07,1,-73.96564484,40.76882553,-73.99571991,40.73297882,N,1249
id1659291,1,3/7/2016 10:13,3/7/2016 10:20,1,-74.01364136,40.70787811,-74.00809479,40.71193314,N,420
id0430064,1,4/16/2016 19:52,4/16/2016 20:01,1,-73.97373962,40.76331329,-73.96341705,0,N,573
id3828047,1,2/9/2016 3:35,2/9/2016 3:36,1,-73.92698669,0,-73.92701721,40.74440002,N,NA
id0983275,2,3/3/2016 20:35,3/3/2016 20:52,2,-73.9912262,40.73950195,0,40.72420883,N,1016
